species_code,season,region_type,region_code,region_name,n_cells,abd_ppy_median,abd_ppy_lower,abd_ppy_upper,abd_trend_median,abd_trend_lower,abd_trend_upper
rethaw,breeding,state,DOM-1970,Barahona,5,-0.05958372396176405,-0.6015286201018699,1.4332549746298735,-0.5942421763242223,-5.8550442591477125,15.293180902381632
rethaw,breeding,state,DOM-1971,Independencia,8,-0.5106373564973519,-1.669122606638043,1.3188651246871852,-4.990619431999299,-15.4917432085253,13.999557613347967
rethaw,breeding,state,DOM-1972,La Estrelleta,9,0.365861372727656,-0.5531082599477392,2.1467549687761256,3.719439717735296,-5.395425679280985,23.664698726252055
rethaw,breeding,state,DOM-1973,Pedernales,4,0.2611115701683009,-0.8886958962199011,2.0373439164979006,2.642010973047393,-8.539850677644733,22.34647237015683
rethaw,breeding,state,DOM-1974,Azua,8,-0.4274449764908791,-1.286492387994338,1.7509011875911689,-4.193160824411779,-12.145129934376708,18.954984228140948
rethaw,breeding,state,DOM-1975,La Vega,9,0.6349495012384243,-1.11540872042426,2.6532524447033228,6.534023639581643,-10.610557634751528,29.935296034047965
rethaw,breeding,state,DOM-1976,Monseñor Nouel,6,0.357250427127954,-2.0093799624664173,2.8346599752682424,3.630487388431236,-18.370890863019905,32.24984265567252
rethaw,breeding,state,DOM-1977,Peravia,2,-0.11349851750953864,-2.48448060204044,1.685548229665044,-1.129205824167001,-22.24337840811197,18.19316008297298
rethaw,breeding,state,DOM-1978,San José de Ocoa,5,0.4304294817961388,-2.79384704040922,3.977918782800926,4.388630301653884,-24.675274464677,47.71044402836109
rethaw,breeding,state,DOM-1979,Duarte,7,0.9945403008181932,-2.324471500966383,2.275731557289873,10.402515138302926,-20.9580405863765,25.235065140815948
rethaw,breeding,state,DOM-1980,Hato Mayor,4,-0.40115121770435536,-1.7885960637375045,2.7869782812264243,-3.9398663803344336,-16.512935035026153,31.637913239261817
rethaw,breeding,state,DOM-1981,Monte Plata,9,0.01093496570680821,-1.5130877180786988,1.9415608915047848,0.1094034808252431,-14.141120082083123,21.202838424200586
rethaw,breeding,state,DOM-1982,María Trinidad Sánchez,5,-0.4061416469731267,-1.5073433133084473,1.0466990958484652,-3.987986738626737,-14.09102838764088,10.974017661171608
rethaw,breeding,state,DOM-1983,Samaná,3,0.03477242933107445,-1.7949598608830188,0.8784511676379765,0.3482689029758568,-16.567016316118675,9.140027021306029
rethaw,breeding,state,DOM-1984,San Cristóbal,5,0.2275676977489237,-1.8743038934365055,2.9324545877840693,2.299123138641579,-17.238661362708395,33.512919736496926
rethaw,breeding,state,DOM-1985,Distrito Nacional,1,0.3011962381597937,-1.1523976091646058,1.545569252505017,3.0531156356871536,-10.944366576530197,16.576170680382706
rethaw,breeding,state,DOM-1986,El Seybo,6,-0.5020789588787552,-2.3948399107862564,1.196692773217921,-4.908857636305153,-21.52564025455659,12.632362796716912
rethaw,breeding,state,DOM-1987,La Altagracia,4,-1.0099707128887996,-2.1775884373791525,0.07686671471036977,-9.652835411493951,-19.76134311355282,0.7713314257615123
rethaw,breeding,state,DOM-1988,La Romana,2,-1.447886291362496,-2.6979312563431876,-0.715338406041216,-13.571010977402642,-23.928717317597425,-6.9274530176246625
rethaw,breeding,state,GTM-1942,Baja Verapaz,12,-0.08364101105817834,-2.9630817434334213,2.998437538312607,-0.8332690035337209,-25.976442075516392,34.37125274489823
rethaw,breeding,state,GTM-1943,Huehuetenango,19,-0.7351734610982553,-2.842488218524564,2.4140332351835605,-7.113225954682878,-25.051345739902377,26.938890233240787
rethaw,breeding,state,GTM-1944,Petén,4,-0.22714558444941044,-1.5158754944293122,1.5714785392068915,-2.2483781197773056,-14.16542025184686,16.873955778927694
rethaw,breeding,state,GTM-1945,Quezaltenango,9,-0.6865384354711894,-2.1546270303085473,1.3985906205727852,-6.657120398755567,-19.57280352366766,14.899777071624843
rethaw,breeding,state,GTM-1946,Retalhuleu,4,-0.17334204863846175,-1.0723730291175335,1.905719929678836,-1.7199614394294738,-10.220761895684197,20.777382907065565
rethaw,breeding,state,GTM-1947,San Marcos,9,-1.2785559092996563,-2.7997198762920186,2.642999391515735,-12.07446983519218,-24.72077050462438,29.805574389526157
rethaw,breeding,state,GTM-1948,Alta Verapaz,20,0.13927671106549622,-1.65474191060834,4.357073635885621,1.4015287110964003,-15.368070187655311,53.18594562343502
rethaw,breeding,state,GTM-1949,Chimaltenango,8,-0.11126835648300548,-2.7021555105352166,3.703330805937009,-1.10712877235577,-23.961736313763904,43.855693643271266
rethaw,breeding,state,GTM-1950,Escuintla,5,-1.288864638373017,-2.149024709597112,0.8438380706490208,-12.16624064322306,-19.52674155395153,8.76612686682563
rethaw,breeding,state,GTM-1951,Guatemala,8,-0.4570018808697026,-1.928936229908308,2.5621477922670906,-4.477172217282755,-17.698289593359128,28.78671626471272
rethaw,breeding,state,GTM-1952,Suchitepéquez,4,-0.10318389633361656,-2.3857647133723745,3.5650929809104963,-1.0270610102363853,-21.452645306875805,41.949541542484226
rethaw,breeding,state,GTM-1953,Sacatepéquez,6,-0.2906995668021162,-3.602073457396316,2.385485830758668,-2.8692611575254268,-30.708984521405867,26.585497870252684
rethaw,breeding,state,GTM-1954,Sololá,6,0.19086478828781855,-3.133501768591809,1.7449492292038935,1.925124814543966,-27.266246435471807,18.88541936270911
rethaw,breeding,state,GTM-1955,Totonicapán,8,-0.34877139963713,-2.5626392111681966,2.978526528204524,-3.4334813327686287,-22.864354100738883,34.111720540861135
rethaw,breeding,state,GTM-1956,El Progreso,7,-0.4804025919753741,-2.871686134234359,2.664500264465325,-4.7014912522471475,-25.27627816354745,30.077737659797776
rethaw,breeding,state,GTM-1957,Santa Rosa,8,-0.208690419796043,-2.892874332276957,2.470956998228379,-2.0674146053960563,-25.43912539470269,27.64620924894201
rethaw,breeding,state,GTM-1959,Izabal,20,-0.29019696434088993,-1.4488541764787604,1.924291255705031,-2.8643649988370767,-13.579498835450751,20.9976685288477
rethaw,breeding,state,GTM-1960,Chiquimula,10,-0.8888790505331281,-2.6520334163274866,0.7060929577799464,-8.541540815988435,-23.569122885573723,7.289561909541775
rethaw,breeding,state,GTM-1961,Jalapa,9,-0.8102888549625638,-1.6738194922855267,1.968121520370706,-7.8137274010734,-15.5321008582888,21.519000019996003
rethaw,breeding,state,GTM-1962,Jutiapa,12,-0.938678050091364,-2.911844195868552,1.4888102211002872,-9.000041885817767,-25.58465198577912,15.92620314589599
rethaw,breeding,state,GTM-1963,Zacapa,10,-0.9244074070426762,-1.5062028727792671,0.29313299152007605,-8.868863533722882,-14.081080521326584,2.970300855303032
rethaw,breeding,state,GTM-3467,Quiché,17,-0.5736677318645502,-3.322428876271152,3.0652947617981656,-5.590827622703587,-28.67244967238023,35.2460209295782
rethaw,breeding,state,HND-637,Atlántida,5,-0.36838751781326506,-1.7257193991951207,1.7045228685462417,-3.6234020377504006,-15.976893680181426,18.413895152101013
rethaw,breeding,state,HND-639,Francisco Morazán,24,0.5995727828310023,-1.7397582729586585,2.2423936589219307,6.160111015183145,-16.09684691447768,24.8274459500162
rethaw,breeding,state,HND-642,Olancho,26,0.6342998333307868,-1.3192008212106987,2.5291410251053357,6.527146334434275,-12.435800815718334,28.37285184452909
rethaw,breeding,state,HND-643,Yoro,19,0.3835993965016668,-1.5973557735280508,2.672505891282825,3.902892709621808,-14.872929665745415,30.179205968011892
rethaw,breeding,state,HND-645,Valle,7,0.35213348772158304,-1.7777896190612883,0.9420020053983832,3.5776611828337357,-16.421026645194658,9.82953362338108
rethaw,breeding,state,HND-646,Comayagua,18,0.32923723001762834,-1.1242815656605991,2.2890867662649006,3.3415817571163853,-10.690733777385974,25.398693754125755
rethaw,breeding,state,HND-647,Cortés,13,0.0943842176118604,-1.968397438873561,3.0631879851467616,0.9478610537695832,-18.0288509820566,35.218377584501745
rethaw,breeding,state,HND-648,Intibucá,11,0.3707182530512873,-1.7316431417342804,3.523348055023569,3.769642307730048,-16.0275270970352,41.37840930590264
rethaw,breeding,state,HND-649,La Paz,10,0.7360951885511147,-1.620485971610547,2.5286072487960904,7.609626459161256,-15.072815003526696,28.366168790218985
rethaw,breeding,state,HND-650,Santa Bárbara,17,0.3863427688109976,-1.9785199980496784,2.9157137449711787,3.9312917088346166,-18.113453532111755,33.29593436573033
rethaw,breeding,state,HND-651,Copán,11,0.8121100623319724,-1.669577937091038,2.895339949806553,8.424405363076627,-15.495656361957876,33.032288909598066
rethaw,breeding,state,HND-652,Lempira,16,0.4717526288109593,-1.8657203359975472,2.8878331791020475,4.818944358157351,-17.166237274768303,32.93526652747263
